"train/global_step","esm_t6_c1 - _step","esm_t6_c1 - _step__MIN","esm_t6_c1 - _step__MAX","esm_t6_c1 - gradients/bert.encoder.layer.1.attention.self.key.bias"
"3000","0","0","0","{""_type"":""histogram"",""values"":[1,1,1,0,0,0,0,1,2,0,0,2,2,0,0,3,1,1,5,2,7,4,6,12,21,67,69,39,20,9,8,6,5,3,3,2,0,2,3,0,4,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1],""bins"":[-2.1827872842550278e-10,-2.098659024341032e-10,-2.014530764427036e-10,-1.9304025045130402e-10,-1.8462742445990443e-10,-1.7621459846850485e-10,-1.6780177247710526e-10,-1.5938894648570567e-10,-1.509761204943061e-10,-1.425632945029065e-10,-1.3415046851150692e-10,-1.2573764252010733e-10,-1.1732481652870774e-10,-1.0891199053730816e-10,-1.0049916454590857e-10,-9.208633855450898e-11,-8.36735125631094e-11,-7.526068657170981e-11,-6.684786058031023e-11,-5.843503458891064e-11,-5.002220859751105e-11,-4.160938260611147e-11,-3.319655661471188e-11,-2.4783730623312294e-11,-1.6370904631912708e-11,-7.958078640513122e-12,4.547473508864641e-13,8.86757334228605e-12,1.7280399333685637e-11,2.5693225325085223e-11,3.410605131648481e-11,4.2518877307884395e-11,5.093170329928398e-11,5.934452929068357e-11,6.775735528208315e-11,7.617018127348274e-11,8.458300726488233e-11,9.299583325628191e-11,1.014086592476815e-10,1.0982148523908108e-10,1.1823431123048067e-10,1.2664713722188026e-10,1.3505996321327984e-10,1.4347278920467943e-10,1.5188561519607902e-10,1.602984411874786e-10,1.687112671788782e-10,1.7712409317027777e-10,1.8553691916167736e-10,1.9394974515307695e-10,2.0236257114447653e-10,2.1077539713587612e-10,2.191882231272757e-10,2.276010491186753e-10,2.360138751100749e-10,2.4442670110147446e-10,2.5283952709287405e-10,2.6125235308427364e-10,2.696651790756732e-10,2.780780050670728e-10,2.864908310584724e-10,2.94903657049872e-10,3.0331648304127157e-10,3.1172930903267115e-10,3.2014213502407074e-10]}"
"6000","2","2","2","{""_type"":""histogram"",""values"":[1,2,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,3,2,1,4,6,9,6,3,12,11,7,8,27,33,58,40,19,4,11,8,2,8,8,2,1,3,4,1,0,2,1,1,1,0,1,0,2,0,0,0,0,1,0,0,0,0,1],""bins"":[-3.092281986027956e-11,-2.992806003021542e-11,-2.893330020015128e-11,-2.793854037008714e-11,-2.6943780540023e-11,-2.594902070995886e-11,-2.495426087989472e-11,-2.3959501049830578e-11,-2.2964741219766438e-11,-2.1969981389702298e-11,-2.0975221559638157e-11,-1.9980461729574017e-11,-1.8985701899509877e-11,-1.7990942069445737e-11,-1.6996182239381596e-11,-1.6001422409317456e-11,-1.5006662579253316e-11,-1.4011902749189176e-11,-1.3017142919125035e-11,-1.2022383089060895e-11,-1.1027623258996755e-11,-1.0032863428932615e-11,-9.038103598868474e-12,-8.043343768804334e-12,-7.048583938740194e-12,-6.0538241086760536e-12,-5.059064278611913e-12,-4.064304448547773e-12,-3.069544618483633e-12,-2.0747847884194925e-12,-1.0800249583553523e-12,-8.526512829121202e-14,9.094947017729282e-13,1.9042545318370685e-12,2.8990143619012088e-12,3.893774191965349e-12,4.888534022029489e-12,5.8832938520936295e-12,6.87805368215777e-12,7.87281351222191e-12,8.86757334228605e-12,9.86233317235019e-12,1.0857093002414331e-11,1.1851852832478471e-11,1.2846612662542611e-11,1.3841372492606752e-11,1.4836132322670892e-11,1.5830892152735032e-11,1.6825651982799172e-11,1.7820411812863313e-11,1.8815171642927453e-11,1.9809931472991593e-11,2.0804691303055733e-11,2.1799451133119874e-11,2.2794210963184014e-11,2.3788970793248154e-11,2.4783730623312294e-11,2.5778490453376435e-11,2.6773250283440575e-11,2.7768010113504715e-11,2.8762769943568856e-11,2.9757529773632996e-11,3.0752289603697136e-11,3.1747049433761276e-11,3.2741809263825417e-11]}"
"9000","4","4","4","{""_type"":""histogram"",""values"":[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,3,1,0,4,0,3,5,11,8,26,13,35,48,45,40,14,20,10,2,7,6,3,2,3,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,1],""bins"":[-2.546585164964199e-11,-2.475530891388189e-11,-2.404476617812179e-11,-2.333422344236169e-11,-2.262368070660159e-11,-2.191313797084149e-11,-2.120259523508139e-11,-2.049205249932129e-11,-1.978150976356119e-11,-1.907096702780109e-11,-1.836042429204099e-11,-1.764988155628089e-11,-1.693933882052079e-11,-1.6228796084760688e-11,-1.5518253349000588e-11,-1.4807710613240488e-11,-1.4097167877480388e-11,-1.3386625141720288e-11,-1.2676082405960187e-11,-1.1965539670200087e-11,-1.1254996934439987e-11,-1.0544454198679887e-11,-9.833911462919787e-12,-9.123368727159686e-12,-8.412825991399586e-12,-7.702283255639486e-12,-6.991740519879386e-12,-6.281197784119286e-12,-5.5706550483591855e-12,-4.860112312599085e-12,-4.149569576838985e-12,-3.439026841078885e-12,-2.7284841053187847e-12,-2.0179413695586845e-12,-1.3073986337985843e-12,-5.968558980384842e-13,1.1368683772161603e-13,8.242295734817162e-13,1.5347723092418164e-12,2.2453150450019166e-12,2.9558577807620168e-12,3.666400516522117e-12,4.376943252282217e-12,5.087485988042317e-12,5.7980287238024175e-12,6.508571459562518e-12,7.219114195322618e-12,7.929656931082718e-12,8.640199666842818e-12,9.350742402602918e-12,1.0061285138363019e-11,1.0771827874123119e-11,1.1482370609883219e-11,1.2192913345643319e-11,1.290345608140342e-11,1.361399881716352e-11,1.432454155292362e-11,1.503508428868372e-11,1.574562702444382e-11,1.645616976020392e-11,1.716671249596402e-11,1.787725523172412e-11,1.858779796748422e-11,1.929834070324432e-11,2.000888343900442e-11]}"
"12000","6","6","6","{""_type"":""histogram"",""values"":[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,1,0,1,1,1,4,2,2,8,6,13,21,18,42,77,35,15,18,16,7,8,4,3,3,0,0,2,0,1,1,0,1,0,2,0,0,0,0,0,0,0,1],""bins"":[-2.1590869825512116e-18,-2.0998211460230122e-18,-2.040555309494813e-18,-1.9812894729666136e-18,-1.9220236364384143e-18,-1.862757799910215e-18,-1.8034919633820156e-18,-1.7442261268538163e-18,-1.684960290325617e-18,-1.6256944537974176e-18,-1.5664286172692183e-18,-1.507162780741019e-18,-1.4478969442128196e-18,-1.3886311076846203e-18,-1.329365271156421e-18,-1.2700994346282217e-18,-1.2108335981000223e-18,-1.151567761571823e-18,-1.0923019250436237e-18,-1.0330360885154244e-18,-9.73770251987225e-19,-9.145044154590257e-19,-8.552385789308264e-19,-7.95972742402627e-19,-7.367069058744277e-19,-6.774410693462284e-19,-6.181752328180291e-19,-5.589093962898297e-19,-4.996435597616304e-19,-4.403777232334311e-19,-3.8111188670523176e-19,-3.2184605017703243e-19,-2.625802136488331e-19,-2.0331437712063378e-19,-1.4404854059243445e-19,-8.478270406423512e-20,-2.5516867536035798e-20,3.374896899216353e-20,9.301480552036286e-20,1.5228064204856218e-19,2.115464785767615e-19,2.7081231510496084e-19,3.3007815163316016e-19,3.893439881613595e-19,4.486098246895588e-19,5.078756612177581e-19,5.671414977459575e-19,6.264073342741568e-19,6.856731708023561e-19,7.4493900733055545e-19,8.042048438587548e-19,8.634706803869541e-19,9.227365169151534e-19,9.820023534433528e-19,1.041268189971552e-18,1.1005340264997514e-18,1.1597998630279507e-18,1.21906569955615e-18,1.2783315360843494e-18,1.3375973726125487e-18,1.396863209140748e-18,1.4561290456689474e-18,1.5153948821971467e-18,1.574660718725346e-18,1.6339265552535454e-18]}"
"15000","8","8","8","{""_type"":""histogram"",""values"":[1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,2,1,3,2,0,1,1,1,0,0,1,3,5,14,14,35,120,49,22,11,4,3,3,1,0,0,3,1,3,4,2,2,0,1,0,0,1,0,0,0,0,0,1],""bins"":[-4.4211149379734223e-20,-4.3037380090521477e-20,-4.186361080130873e-20,-4.0689841512095984e-20,-3.951607222288324e-20,-3.834230293367049e-20,-3.7168533644457746e-20,-3.5994764355245e-20,-3.482099506603225e-20,-3.3647225776819507e-20,-3.247345648760676e-20,-3.1299687198394014e-20,-3.012591790918127e-20,-2.895214861996852e-20,-2.7778379330755775e-20,-2.660461004154303e-20,-2.5430840752330283e-20,-2.4257071463117537e-20,-2.308330217390479e-20,-2.1909532884692044e-20,-2.0735763595479298e-20,-1.956199430626655e-20,-1.8388225017053805e-20,-1.721445572784106e-20,-1.6040686438628313e-20,-1.4866917149415566e-20,-1.369314786020282e-20,-1.2519378570990074e-20,-1.1345609281777328e-20,-1.0171839992564581e-20,-8.998070703351835e-21,-7.824301414139089e-21,-6.6505321249263425e-21,-5.476762835713596e-21,-4.30299354650085e-21,-3.1292242572881037e-21,-1.9554549680753574e-21,-7.8168567886261115e-22,3.920836103501351e-22,1.5658528995628814e-21,2.7396221887756277e-21,3.913391477988374e-21,5.08716076720112e-21,6.2609300564138665e-21,7.434699345626613e-21,8.608468634839359e-21,9.782237924052105e-21,1.0956007213264852e-20,1.2129776502477598e-20,1.3303545791690344e-20,1.447731508090309e-20,1.5651084370115837e-20,1.6824853659328583e-20,1.799862294854133e-20,1.9172392237754075e-20,2.0346161526966822e-20,2.1519930816179568e-20,2.2693700105392314e-20,2.386746939460506e-20,2.5041238683817807e-20,2.6215007973030553e-20,2.73887772622433e-20,2.8562546551456046e-20,2.973631584066879e-20,3.091008512988154e-20]}"
"18000","10","10","10","{""_type"":""histogram"",""values"":[1,0,0,0,1,0,1,1,0,1,0,3,2,1,0,1,2,3,3,3,4,4,7,7,5,8,14,20,28,54,31,32,13,11,7,5,5,5,6,5,3,0,2,6,2,4,0,1,0,2,2,0,0,0,1,1,1,0,0,0,0,0,0,1],""bins"":[-6.256794153351101e-21,-6.0451393141140954e-21,-5.8334844748770894e-21,-5.6218296356400835e-21,-5.4101747964030775e-21,-5.1985199571660716e-21,-4.9868651179290656e-21,-4.77521027869206e-21,-4.563555439455054e-21,-4.351900600218048e-21,-4.140245760981042e-21,-3.928590921744036e-21,-3.71693608250703e-21,-3.505281243270024e-21,-3.293626404033018e-21,-3.081971564796012e-21,-2.870316725559006e-21,-2.658661886322e-21,-2.447007047084994e-21,-2.235352207847988e-21,-2.0236973686109822e-21,-1.8120425293739763e-21,-1.6003876901369703e-21,-1.3887328508999643e-21,-1.1770780116629584e-21,-9.654231724259524e-22,-7.537683331889465e-22,-5.421134939519405e-22,-3.3045865471493456e-22,-1.188038154779286e-22,9.285102375907736e-23,3.045058629960833e-22,5.161607022330893e-22,7.278155414700952e-22,9.394703807071012e-22,1.1511252199441071e-21,1.3627800591811131e-21,1.574434898418119e-21,1.786089737655125e-21,1.997744576892131e-21,2.209399416129137e-21,2.421054255366143e-21,2.632709094603149e-21,2.8443639338401548e-21,3.0560187730771607e-21,3.2676736123141667e-21,3.479328451551173e-21,3.6909832907881786e-21,3.9026381300251846e-21,4.1142929692621905e-21,4.3259478084991965e-21,4.5376026477362024e-21,4.7492574869732084e-21,4.960912326210214e-21,5.17256716544722e-21,5.384222004684226e-21,5.595876843921232e-21,5.807531683158238e-21,6.019186522395244e-21,6.23084136163225e-21,6.442496200869256e-21,6.654151040106262e-21,6.865805879343268e-21,7.077460718580274e-21,7.28911555781728e-21]}"
